Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
Museum of Science & Industry in Manchester,Liverpool Road,Castlefield,,,Manchester,Greater Manchester,M3 4FP,England,,Charity & Trusts,Museum,Independent
"National Trust, Plas Newydd",Llanfairpwll,,,,Anglesey,,LL61 6DQ,Wales,www.nationaltrust.org.uk/main/w-plasnewydd,Charity & Trusts,Museum,Independent
The Waterways Trust,Llanthony Warehouse,The Docks,Gloucester,,Gloucester,Gloucestershire,GL1 2EH,,http://www.thewaterwaystrust.org.uk,Charity & Trusts,Museum,Independent
Museum of Kent Life,Lock Lane,,,,Maidstone,Kent,ME14 3AU,England,,Charity & Trusts,Museum,Independent
Pendon Museum,Long Wittenham,,,,Abingdon,Oxfordshire,0X14 4QD,England,www.pendonmuseum.com,Charity & Trusts,Museum,Independent
Queen's Own Hussars Regimental Museum,Lord Leycester Hospital,High Street,,,Warwick,Warwickshire,CV34 4BH,England,www.thequeensownhussars.co.uk/regimental_museum.htm,Charity & Trusts,Museum,Independent
Museum of Fire,Lothian & Borders Fire Brigade,Brigade Headquarters,Lauriston Place,,Edinburgh,,EH3 9DE,Scotland,www.lbfire.org.uk,Charity & Trusts,Museum,Independent
Bressingham Steam Museum,Low Road,Bressingham,Diss,,Norfolk,Norfolk,IP22 2AA,UK,,Charity & Trusts,Museum,Independent
"National Trust, Basildon Park",Lower Basildon,,,,Reading,Berkshire,RG8 9NR,England,,Charity & Trusts,Museum,Independent
The Rum Story,Lowther Street,,,,Whitehaven,Cumbria,CA28 7DN,England,,Charity & Trusts,Museum,Independent
Thirsk Museum,Lyndholm,Main Street,South Kilvington,,Thirsk,,YO7 2LZ,,http://www.thirskmuseum.org/,Charity & Trusts,Museum,Independent
Greater Manchester Fire Service Museum,Maclure Road,,,,Rochdale,Lancashire,OL11 1DN,England,,Charity & Trusts,Museum,Independent
Queen's Own Royal West Kent Regiment Museum,Maidstone Museum & Bentlif Art Gallery,,,,Maidstone,Kent,ME14 1LH,England,,Charity & Trusts,Museum,Independent
"University of Birmingham, Special Collections",Main Library,University of Birmingham,Edgbaston,,Birmingham,West Midlands,B15 2TT,England,www.bham.ac.uk,University,Museum,Independent
Beatrix Potter Gallery,Main Street,,,,Hawkshead,Cumbria,LA22 0NS,England,,Charity & Trusts,Museum,Independent
Clan Macpherson Museum,Main Street,Newtonmore,,,Inverness-shire,,PH20 1DE,Scotland,http://www.clan-macpherson.org,Charity & Trusts,Museum,Independent
Long Shop Museum,Main Street,,,,Leiston,Suffolk,IP16 4ES,England,,Charity & Trusts,Museum,Independent
Halstead &  District Local History Society,Mallows House,Mallows Field,,,Halstead,Essex,CO9 2LN,England,,Charity & Trusts,Museum,Independent
Wolterton and Mannington Estate,Mannington Hall,Mannington,,,Norwich,Norfolk,NR11 7BB,England,,Charity & Trusts,Museum,Independent
Buntingford Heritage Centre,Manor House,Market Hill,,,Buntingford,Hertfordshire,SG9 9AB,England,,Charity & Trusts,Museum,Independent
Holsworthy Museum,Manor Offices,,,,Holsworthy,Devon,EX22 6DJ,England,www.devonmuseums.net/holsworthy,Charity & Trusts,Museum,Independent
Sulgrave Manor,Manor Road,Sulgrave,,,Banbury,Oxfordshire,OX17 2SD,England,www.sulgravemanor.org.uk,Charity & Trusts,Museum,Independent
Manx Museum,Manx National Heritage,,,,Douglas,IsleofMan,IM1 3LY,England,,Charity & Trusts,Museum,Independent
Chinese Arts Centre,Market Buildings,Thomas Street,,,Manchester,Greater Manchester,M4 1EU,England,,Charity & Trusts,Museum,Independent
Old Gaol Museum,Market Hill,,,,Buckingham,Buckinghamshire,MK18 1EW,England,http://www.mkheritage.co.uk/OGB/,Charity & Trusts,Museum,Independent
"Little Hall, Lavenham",Market Place,,,,Lavenham,Suffolk,CO10 9QZ,England,,Charity & Trusts,Museum,Independent
Congleton Museum Trust,Market Square,,,,Congleton,Cheshire,CW12 1ET,England,,Charity & Trusts,Museum,Independent
Marazion Museum,Market Square,,,,Marazion,Cornwall,TR17 0AR,England,http://www.museumsincornwall.org.uk/museums/marazion-museum,Charity & Trusts,Museum,Independent
Markham Grange Nursery and Steam Museum,Markham Grange,Brodsworth,,,Doncaster,,DN5 7XB,,,Charity & Trusts,Museum,Independent
MCC Museum,Marylebone Cricket Club,Lord's Cricket Ground,St John's Wood,,London,Middlesex,NW8 8QN,England,http://www.lords.org/history/mcc-museum/,Charity & Trusts,Museum,Independent
Royal Academy of Music- York Gate Collections,Marylebone Road,,,,London,,NW1 5HT,England,http://www.ram.ac.uk/facilitiesandcollections/library/Pages/default.aspx,University,Museum,Independent
Castleton Village Museum,Methodist Church,Buxton Road,Castleton,,Hope Valley,Derbyshire,S33 8WP,England,,Charity & Trusts,Museum,Independent
Foxton Canal Museum,Middle Lock,Gumley Road,,,Foxton,Leicestershire,LE16 7RA,England,,Charity & Trusts,Museum,Independent
Museum of Domestic Design and Architecture (MoDA),Middlesex University,Cat Hill,Barnet,,London,Greater London,EN4 8HT,,www.moda.mdx.ac.uk,University,Museum,Independent
Burwell Museum,Mill Close,,,,Burwell,Cambridgeshire,CB5 0BB,England,,Charity & Trusts,Museum,Independent
Bunbury Watermill,Mill Lane,Bunbury,,,Tarporley,Cheshire,CW6 9PP,England,,Charity & Trusts,Museum,Independent
River & Rowing Museum,Mill Meadows,,,,Henley-on-Thames,Oxfordshire,RG9 1BF,England,www.rrm.co.uk,Charity & Trusts,Museum,Independent
Kington Museum,Mill Street,,,,Kington,Herefordshire,HR5 3AL,England,www.kingtonmuseum.co.uk,Charity & Trusts,Museum,Independent
Thinktank: The Birmingham Museum of Science and Discovery,Millenium Point,Curzon Street,,,Birmingham,West Midlands,B4 7XG,England,www.thinktank.ac,Charity & Trusts,Museum,Independent
Great Laxey Wheel & Mines Trail,Mines Road,Laxey,Douglas,,Isle of Man,,IM4 7NL,England,www.gov.im/mnh/heritage/museums/laxeywheel.xml,Charity & Trusts,Museum,Independent
"National Trust, Treasurer's House",Minster Yard,,,,York,Yorkshire,YO1 7JL,,http://www.nationaltrust.org.uk/main/w-treasurershouseyork,Charity & Trusts,Museum,Independent
Charles Burrell Museum,Minstergate,,,,Thetford,Norfolk,IP24 3RL,England,,Charity & Trusts,Museum,Independent
British Red Cross Museum & Archives,Moorfields House,44 Moorfields,Islington,,London,,EC2Y 9AL,England,,Charity & Trusts,Museum,Independent
Aldeburgh Moot Hall Museum,Moot Hall,Market Cross Place,,,Aldeburgh,Suffolk,1P15 5DS,England,www.aldeburghmuseum.org.uk/,Charity & Trusts,Museum,Independent
The Northern Mill Engine Society Limited,Mornington Road,,,,Bolton,Lancashire,BL1 4EU,England,,Charity & Trusts,Museum,Independent
Morwellham Quay Open Air Museum,Morwellham Quay,,,,Tavistock,Devon,PL19 8JL,England,www.morwellham-quay.co.uk,Charity & Trusts,Museum,Independent
"National Trust, Moseley Old Hall",Moseley Old Hall Lane,Fordhouses,,,Wolverhampton,Staffordshire,WV10 7HY,UK,www.nationaltrust.org.uk/main/w-moseleyoldhall,Charity & Trusts,Museum,Independent
Yorkshire Museum of Farming,Murton Park Murton Lane,Murton,,,York,,YO19 5UF,,www.murtonpark.co.uk,Charity & Trusts,Museum,Independent
Yorkshire Museum & Gardens,Museum Gardens,,,,York,Yorkshire,YO1 7FR,England,www.york.trust.museum,Charity & Trusts,Museum,Independent
The Hunterian Museum,Museum of the Royal College of Surgeons of England,35-43 Lincoln's Inn Fields,,,London,,WC2A 3PN,England,http://www.rcseng.ac.uk/museums,Charity & Trusts,Museum,Independent
Oxford Bus Museum Trust,Museum Site,,,,Witney,Oxfordshire,OX29 8LA,England,http://www.oxfordbusmuseum.org.uk/,Charity & Trusts,Museum,Independent
Wisbech Museum,Museum Square,,,,Wisbech,Cambridgeshire,PE13 1ES,,,Charity & Trusts,Museum,Independent
Snowshill Manor,Mythe End House,,,,Tewkesbury,Gloucestershire,GL20 6EB,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
National Motor Museum,National Motor Museum,Beaulieu,,,Brockenhurst,Hampshire,SO42 7ZN,England,www.beaulieu.co.uk,Charity & Trusts,Museum,Independent
Charleston,Near Firle,,,,Lewes,East Sussex,BN8 6LL,England,,Charity & Trusts,Museum,Independent
"National Trust, Hill Top",near Sawrey,,,,Ambleside,Cumbria,LA22 0LF,England,www.nationaltrust.org.uk/main/w-hilltop,Charity & Trusts,Museum,Independent
Kiplin Hall,near Scorton,,,,Richmond,Yorkshire,DL10 6AT,England,http://www.kiplinhall.co.uk/,Charity & Trusts,Museum,Independent
Morwellham Quay Museum,Near Tavistock,,,,Devon,Devon,PL19 8JL,England,http://www.morwellham-quay.co.uk/,Charity & Trusts,Museum,Independent
Maritime Museum of Jersey and Occupation Tapestry Gallery,New North Quay,St Helier,,,Jersey,,JE2 3ND,Channel Islands,http://www.jerseyheritage.org/places-to-visit/maritime-museum,Charity & Trusts,Museum,Independent
St Barbe Museum,New Street,,,,Lymington,Hampshire,SO41 9BH,England,,Charity & Trusts,Museum,Independent
"University of Newcastle, Museum of Antiquities",Newcastle University,,,,Newcastle upon Tyne,Tyne & Wear,NE1 7RU,England,museums.ncl.ac.uk/archive,University,Museum,Independent
The Bowes Museum,Newgate,,,,Barnard Castle,Durham,DL12 8NP,England,www.thebowesmuseum.org.uk/,Charity & Trusts,Museum,Independent
Chiltern Open Air Museum,Newland Park,Gorelands Lane,,,Chalfont St Giles,Buckinghamshire,HP8 4AB,England,,Charity & Trusts,Museum,Independent
"Dinefwr, National Trust",Newton House,Dinefwr Park and Castle,Llandeilo,,Carmarthenshire,,SA19 6RT,Wales,http://www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
"National Trust, Newtown Old Town Hall",Newtown,,,,Newport,Isle of Wight,PO30 4PA,England,,Charity & Trusts,Museum,Independent
"Science Museum, Wroughton",NMSI Wroughton,Hackpen Lane,,,Wroughton,Wiltshire,SN4 9NS,England,www.sciencemuseum.org.uk/wroughton,Charity & Trusts,Museum,Independent
Tilbury Fort,No 2 Office Block,The Fort,,,Tilbury,Essex,RM18 7NR,England,,Charity & Trusts,Museum,Independent
No 1 The Royal Crescent,No.1 Royal Crescent,,,,Bath,Somerset,BA1 2LR,England,www.bath-preservation-trust,Charity & Trusts,Museum,Independent
Dean Forest Railway Museum,Norchard,Forest Road,,,Lydney,Gloucestershire,GL15 4ET,England,www.deanforestrailway.co.uk,Charity & Trusts,Museum,Independent
Berkshire Medical Heritage Centre,Norscot,Posebery Road,Tokers Green,,Reading,Berkshire,RG4 9EL,England,,Charity & Trusts,Museum,Independent
The Dock Museum,North Road,,,,Barrow-in-Furness,Cumbria,LA14 2PW,England,,Charity & Trusts,Museum,Independent
Bishops House,Norton Lees Lane,,,,Sheffield,Yorkshire,S8 9BE,England,,Charity & Trusts,Museum,Independent
East Midlands Museums Service,Nottingham Trent University,School of Arts & Humanities,Clifton Lane,,Nottingham,Nottinghamshire,NG11 8NS,England,www.emms.org.uk,Charity & Trusts,Museum,Independent
"Lytes Cary Manor, National Trust",nr Charlton Mackrell,,,,Somerton,Somerset,TA11 7HU,,http://www.nationaltrust.org.uk/main/w-lytescarymanor,Charity & Trusts,Museum,Independent
Kedleston Hall,Nr Quardon,,,,Derby,Derbyshire,DE22 5JH,England,,Charity & Trusts,Museum,Independent
"National Trust, Nunnington Hall",Nunnington,,,,nr York,Yorkshire,YO62 5UY,England,http://www.nationaltrust.org.uk/main/w-nunningtonhall,Charity & Trusts,Museum,Independent
Baldock Museum,Oak House,22 Whitehorse Street,,,Baldock,Hertfordshire,SG7 6QQ,England,,Charity & Trusts,Museum,Independent
Perranzabuloe Folk Museum,Oddfellows Hall,Ponsmere Road,,,Perranporth,Cornwall,TR6 0BW,England,www.perranzabuloemuseum.co.uk,Charity & Trusts,Museum,Independent
London Metropolitan University: Women's Library,Old Castle Street,,,,London,,E1 7NT,England,http://www.londonmet.ac.uk/thewomenslibrary/,University,Museum,Independent
Yorkshire Dales Mining Museum,Old Grammar School,School Lane,Earby,,Barnoldswick,Lancashire,BB18 6QF,UK,www.yorkshiredalesminingmuseum.com,Charity & Trusts,Museum,Independent
Bedfordshire & Hertfordshire Regiment Museum,Old High House,,,,Kettlebaston,Suffolk,IP7 7QB,England,,Charity & Trusts,Museum,Independent
Bakewell Old House Museum,Old House Museum,Cunningham Place,Off North Church Street,,Bakewell,Derbyshire,DE45 1DD,England,www.oldhousemuseum.org.uk/,Charity & Trusts,Museum,Independent
Rural Life Centre and Old Kiln Museum,Old Kiln Museum,Reeds Road,Tilford,,Farnham,Surrey,GU10 2DL,England,http://www.rurallife.plus.com/rlc/,Charity & Trusts,Museum,Independent
Fenland & West Norfolk Aviation Museum,Old Lynn Road,West Walton,,,Wisbech,Cambridgeshire,PE14 7DA,England,,Charity & Trusts,Museum,Independent
East Grinstead Museum,Old Market Yard,Cantelupe Road,,,East Grinstead,West Sussex,RH19 3BJ,England,www.eastgrinsteadmuseum.org.uk,Charity & Trusts,Museum,Independent
City of Norwich Aviation Museum,Old Norwich Road,Horsham St Faith,,,Norwich,Norfolk,NR10 3JF,England,,Charity & Trusts,Museum,Independent
HMS Ganges,Old Sail Loft,Shotley Gate,,,Ipswich,Suffolk,IP9 1QJ,England,,Charity & Trusts,Museum,Independent
Hall's Croft,Old Town,,,,Stratford-upon-Avon,Warwickshire,CV37 6BG,England,http://www.shakespeare.org.uk/content/view/364/364/,Charity & Trusts,Museum,Independent
Museum of Technology,Old Town,81 High Street,,,Hemel Hempstead,Hertfordshire,HP1 3AH,England,www.museumoftechnology.org.uk/,Charity & Trusts,Museum,Independent
Malton Museum,Old Town Hall,Market Place,,,Malton,,YO17 7LP,,http://www.maltonmuseum.co.uk/,Charity & Trusts,Museum,Independent
Museum of Richmond,Old Town Hall,Whittaker Avenue,,,Richmond upon Thames,,TW9 1TP,England,,Charity & Trusts,Museum,Independent
Winchcombe Folk & Police Museum,Old Town Hall,Winchcombe,,,Cheltenham,Gloucestershire,GL54 5LJ,England,www.winchcombemuseum.org.uk,Charity & Trusts,Museum,Independent
Ipswich Transport Museum,Old Trolleybus Depot,Cobham Road,,,Ipswich,Suffolk,IP3 9JD,England,,Charity & Trusts,Museum,Independent
Lion Salt Works Trust,Ollershaw Lane,Marston,,,Northwich,Cheshire,CW9 6ES,England,,Charity & Trusts,Museum,Independent
Keswick Mining Museum,Otley House,Otley Road,,,Keswick,Cumbria,CA12 5LE,England,,Charity & Trusts,Museum,Independent
Tavistock Museum,Ottery House,Ottery,,,Tavistock,Devon,PL19 8NS,England,http://www.tavistockhistory.ik.com/p_tavhistory-homepage.ikml,Charity & Trusts,Museum,Independent
Lowestoft Maritime Museum,Oulton Broad,88 Bridge Road,,,Lowestoft,Suffolk,NR32 3LR,England,,Charity & Trusts,Museum,Independent
Railworld,Oundle Road,,,,Peterborough,Cambridgeshire,PE1 4DS,England,,Charity & Trusts,Museum,Independent
Manchester Museum,Oxford Road,,,,Manchester,Greater Manchester,M13 9PL,England,,University,Museum,Independent
Whitworth Art Gallery,Oxford Road,,,,Manchester,Greater Manchester,M15 6ER,England,www.manchester.ac.uk/whitworth,University,Museum,Independent
Ashmolean Museum,Oxford University Museums,Beaumont Street,,,Oxford,Oxfordshire,OX1 2PH,England,http://www.ashmolean.org/,University,Museum,Independent
Pitt Rivers Museum,Oxford University Museums,Parks Road,,,Oxford,Oxfordshire,OX1 3PW,England,http://www.prm.ox.ac.uk/,University,Museum,Independent
Princess Royal Class Locomotive Trust,P. O. Box 6233,The West Shed,,,Ripley,Derbyshire,DE5 4AD,England,www.prclt.co.uk,Charity & Trusts,Museum,Independent
"National Trust, Packwood House",Packwood Lane,,,,Lapworth,Warwickshire,B94 6AT,UK,www.nationaltrust.org.uk/main/w-packwoodhouse,Charity & Trusts,Museum,Independent
Gawthorpe Hall,Padiham,,,,Burnley,Lancashire,BB12 8UA,England,,Charity & Trusts,Museum,Independent
Leighton Buzzard Railway Museum,Page's Park Station,Billington Road,,,Leighton Buzzard,Bedfordshire,LU7 4TN,England,www.buzzrail.co.uk,Charity & Trusts,Museum,Independent
Millom Folk Museum,Palmers Lane,,,,Millom,Cumbria,LA18 5ED,England,,Charity & Trusts,Museum,Independent
Whitby Museum,Pannett Park,,,,Whitby,Yorkshire,YO21 1RE,England,http://www.whitbymuseum.org.uk/,Charity & Trusts,Museum,Independent
Pendle Heritage Centre,Park Hill,,,,Barrowford,Lancashire,BB9 6JQ,England,,Charity & Trusts,Museum,Independent
Silk Museum and Paradise Mill,Park Lane,,,,Macclesfield,,SK11 6JT,England,,Charity & Trusts,Museum,Independent
Shaftesbury Abbey Museum & Gardens,Park Walk,,,,Shaftesbury,Dorset,SP7 8JR,England,www.shaftesburyabbey.co.uk,Charity & Trusts,Museum,Independent
"University of Leeds, Art Collections and Gallery",Parkinson Building,Woodhouse Lane,University of Leeds,,Leeds,Yorkshire,LS2 9JT,England,http://www.leeds.ac.uk/gallery/,University,Museum,Independent
Museum of Natural History,Parks Road,,,,Oxford,Oxfordshire,OX1 3PW,England,http://www.oum.ox.ac.uk/,University,Museum,Independent
Market Lavington Village Museum,Parsonage Mead,The Spring,Market Lavington,,Devizes,Wiltshire,SN10 4EB,England,,Charity & Trusts,Museum,Independent
St Agnes Parish Museum,Penwinnick Road,,,,St Agnes,Cornwall,TR5 0PA,England,http://www.stagnesmuseum.org.uk/,Charity & Trusts,Museum,Independent
The Lowry,Pier 8,Salford Quays,,,Manchester,Greater Manchester,M50 3AZ,England,http://www.thelowry.com/,Charity & Trusts,Museum,Independent
Nantwich Museum,Pillory Street,,,,Nantwich,Cheshire,CW5 5BQ,England,,Charity & Trusts,Museum,Independent
Pitstone Green Museum,Pitstone Green Farm,,,,Aylesbury,Buckinghamshire,LU7 9EY,England,,Charity & Trusts,Museum,Independent
Saltram House,Plympton,,,,Plymouth,Devon,PL7 1UH,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
De Havilland Aircraft Heritage Centre,PO Box 107,Salisbury Hall,,,London Colney,Hertfordshire,AL2 1EX,England,,Charity & Trusts,Museum,Independent
Essex Police Museum,"PO Box 2, Headquarters",,,,Chelmsford,Essex,CM2 6DA,England,,Charity & Trusts,Museum,Independent
Norwich Heritage Economic and Regeneration Trust (HEART),PO Box 3130,,,,Norwich,Norfolk,NR2 1XR,England,http://,Charity & Trusts,Museum,Independent
St Albans Organ Theatre,PO Box 59,,,,St Albans,Hertfordshire,AL2 2BF,England,,Charity & Trusts,Museum,Independent
Tate St Ives,Porthmeor Beach,,,,St Ives,Cornwall,TR26 1TG,England,http://www.tate.org.uk/stives/,Charity & Trusts,Museum,Independent
Royal Engineers Museum,Prince Arthur Road,,,,Gillingham,Kent,ME4 4UG,England,http://www.remuseum.org.uk/,Charity & Trusts,Museum,Independent
Malvern Museum,Priory Gatehouse,Abbey Road,,,Great Malvern,Worcestershire,WR14 3ES,England,www.malvernmuseum.co.uk,Charity & Trusts,Museum,Independent
Maldon District Museum,Promenade Lodge,47 Mill Road,,,Maldon,Essex,CM9 5HX,England,,Charity & Trusts,Museum,Independent
Buckinghamshire Railway Centre,Quainton Road Station,Quainton,,,Aylesbury,Buckinghamshire,HP22 4BY,England,,Charity & Trusts,Museum,Independent
"National Trust, Quarry Bank Mill",Quarry Bank Road,,,,Styal,,SK9 4LA,England,,Charity & Trusts,Museum,Independent
"National Trust, Dudmaston",Quatt,,,,nr Bridgenorth,Shropshire,WV15 6QN,UK,www.nationaltrust.org.uk/main/w-dudmaston,Charity & Trusts,Museum,Independent
Tudor Merchant's House,Quay Hill,Tenby,,,Pembrokeshire,,SA70 7BX,Wales,http://www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
"National Trust, Quebec House",Quebec Square,,,,Westerham,Kent,TN16 1TD,England,http://www.nationaltrust.org.uk/main/w-quebechouse,Charity & Trusts,Museum,Independent
Cumbria's Military Museum,Queen Mary's Tower,The Castle,,,Carlisle,Cumbria,CA3 8UR,England,http://www.kingsownbordermuseum.btik.com/p_Home.ikml,Charity & Trusts,Museum,Independent
Cuckfield Museum,Queen's Hall,High Street,,,Cuckfield,West Sussex,RH17 5EL,England,,Charity & Trusts,Museum,Independent
Royal West of England Academy,Queen's Road,,,,Bristol,,BS8 1PX,England,,Charity & Trusts,Museum,Independent
Quex Museum (formerly Powell-Cotton Museum),Quex Park,,,,Birchington,Kent,CT7 0BH,England,http://www.quexmuseum.org/,Charity & Trusts,Museum,Independent
"National Trust, Anglesey Abbey",Quy Road,,,,Lode,Cambridgeshire,CB5 9EJ,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
Royal Air Force Air Defence Radar Museum,RAF Neatishead,,,,Norwich,Norfolk,NR12 8YB,England,,Charity & Trusts,Museum,Independent
Jewish Museum,Raymond Burton House,129-131 Albert Street,Camden,,London,,NW1 7NB,England,www.jewishmuseum.org.uk,Charity & Trusts,Museum,Independent
Windermere Nautical Trust Limited,Rayrigg Road,,,,Windermere,Cumbria,LA23 1BW,England,,Charity & Trusts,Museum,Independent
Windermere Steamboat Museum,Rayrigg Road,,,,Windermere,Cumbria,LA23 1BN,England,,Charity & Trusts,Museum,Independent
Old Rectory Museum,Rectory Place,,,,Loughborough,Leicestershire,LE11 2TT,England,,Charity & Trusts,Museum,Independent
Balfour Museum of Hampshire Red Cross History,Red Cross House,Winnall Close,Winnall,,Winchester,Hampshire,SO22 5JD,England,,Charity & Trusts,Museum,Independent
Redbournbury Watermill,Redbourn Road,,,,St Albans,Hertfordshire,AL3 6RS,England,,Charity & Trusts,Museum,Independent
"University of Reading, Museum of English Rural Life",Redlands Road,,,,Reading,Berkshire,RG6 6AG,England,http://www.reading.ac.uk/merl/,University,Museum,Independent
Royal Sussex Regimental Museum,Redoubt Fortress & Military Museum,Royal Parade,,,Eastbourne,East Sussex,BN22 7AQ,England,http://www.eastbournemuseums.co.uk/TheRoyalSussexRegiment.htm,Charity & Trusts,Museum,Independent
Sussex Combined Services Museum,Redoubt Fortress and Military Museum,Royal Parade,,,Eastbourne,East Sussex,BN22 7AQ,England,http://www.eastbournemuseums.co.uk/TheSussexCombinedServices.htm,Charity & Trusts,Museum,Independent
Beamish: The North of England Open Air Museum,Regional Resource Centre,,,,Beamish,Durham,DH9 0RG,England,www.beamish.org.uk,Charity & Trusts,Museum,Independent
Reigate Priory Museum,Reigate Priory,,,,Reigate,Surrey,RH2 7RL,England,http://reigatepriorymuseum.org.uk/,Charity & Trusts,Museum,Independent
Ham House,Richmond upon Thames,,,,London,,TW10 7RS,England,,Charity & Trusts,Museum,Independent
Rievaulx Terrace and Temples,Rievaulx,,,,Helmsley,Yorkshire,YO62 5LJ,England,,Charity & Trusts,Museum,Independent
"National Trust, Baddesley Clinton",Rising Lane,Knowle,,,Solihull,West Midlands,B93 0DQ,England,www.nationaltrust.org.uk/main/w-baddesleyclinton,Charity & Trusts,Museum,Independent
Royal Cornwall Museum,River Street,,,,Truro,Cornwall,TR1 2SJ,England,www.royalcornwallmuseum.org.uk,Charity & Trusts,Museum,Independent
Ribchester Roman Museum,Riverside,Ribchester,,,Preston,Lancashire,PR3 3XS,England,,Charity & Trusts,Museum,Independent
New Art Centre,Roche Court,East Winterslow,,,Salisbury,Wiltshire,SP5 1BG,England,http://www.sculpture.uk.com/contact/,Charity & Trusts,Museum,Independent
Shipwreck Heritage Centre,Rock-a-Nore Road,,,,Hastings,East Sussex,TN34 3DW,England,http://www.shipwreck-heritage.org.uk/,Charity & Trusts,Museum,Independent
"National Trust, Monk's House",Rodmell,,,,Lewes,East Sussex,BN7 3HF,,http://www.nationaltrust.org.uk/main/w-monkshouse,Charity & Trusts,Museum,Independent
"National Trust, Greys Court",Rotherfield Greys,,,,Henley-on-Thames,Oxfordshire,RG9 4PG,England,http://www.nationaltrust.org.uk/main/w-greyscourt,Charity & Trusts,Museum,Independent
Royal Institute of British Architects Library,Royal Institute of British Architects,66 Portland Place,,,London,,WIB 1AD,England,,Charity & Trusts,Museum,Independent
Royal Institute of British Architects Library Drawings Collection (RIBA Library),Royal Institute of British Architects,66 Portland Place,,,London,Greater London,W1B 1AD,,,Charity & Trusts,Museum,Independent
Royal Marines Museum,Royal Marines Museum Office,Eastney Esplanade,,,Southsea,Hampshire,PO4 9PX,England,http://www.royalmarinesmuseum.co.uk/,Charity & Trusts,Museum,Independent
Bushey Museum & Art Gallery,Rudolph Road,,,,Bushey,Hertfordshire,WD32 3HW,England,,Charity & Trusts,Museum,Independent
"Steam, Motor & General Museum",Rue de Bechet,Trinity,,,Jersey,,JE3 5BE,England,www.pallotmuseum.co.uk,Charity & Trusts,Museum,Independent
Hamptonne Country Life Museum,Rue de la Patente,St Lawrence,,,Jersey,,JE3 1H5,Channel Islands,http://www.nationaltrustjersey.org.je/showcase/hamptonne.asp,Charity & Trusts,Museum,Independent
Richmondshire Museum,Ryders Wynd,,,,Richmond,Yorkshire,DL10 4JA,England,http://www.richmondshiremuseum.org.uk/,Charity & Trusts,Museum,Independent
"Rye Castle Museum, Ypres Tower",Rye Castle Museum,3 East Street,,,Rye,East Sussex,TN31 7JY,England,http://www.visit1066country.com/rye/attractions/ryecastle/default.aspx,Charity & Trusts,Museum,Independent
William Scott Abbott Trust,Sacrewell Farm & Country Centre,Thornhaugh,,,Peterborough,Cambridgeshire,PE8 6HG,England,,Charity & Trusts,Museum,Independent
Fishbourne Roman Palace,Salthill Road,Fishbourne,,,Chichester,West Sussex,PO19 3QR,England,,Charity & Trusts,Museum,Independent
"University of Exeter, Bill Douglas Centre for Cinema and Popular Culture",School of English & American Study,Queen's Building,Queen's Drive,,Exeter,Devon,EX4 4QH,England,http://www.exeter.ac.uk/bdc/,University,Museum,Independent
"University of Birmingham, Lapworth Museum of Geology","School of Geography, Earth & Environment",Edgbaston,,,Birmingham,West Midlands,B15 2TT,England,www.bham.ac.uk,University,Museum,Independent
"Seven Stories, The Centre for Children's Books",Seven Stories Collection Team,Design Works,William Street,Felling,Gateshead,Tyne & Wear,NE10 0JP,England,www.sevenstories.org.uk,Charity & Trusts,Museum,Independent
Worcester Porcelain Museum,Severn Street,,,,Worcester,Worcestershire,WR1 2NE,England,www.worcesterporcelainmuseum.org.uk,Charity & Trusts,Museum,Independent
Sewerby Hall Museum & Art Gallery,Sewerby Hall & Gardens,,,,Bridlington,Yorkshire,YO15 1EA,England,http://www.eastriding.gov.uk/sewerby/,Charity & Trusts,Museum,Independent
The Shakespeare Birthplace Trust,Shakespeare Centre,Henley Street,,,Stratford-upon-Avon,Warwickshire,CV37 6QW,,http://www.shakespeare.org.uk,Charity & Trusts,Museum,Independent
Shandy Hall,Shandy Hall,Coxwold,,,York,,YO61 4AD,,,Charity & Trusts,Museum,Independent
Workhouse Museum of Poor Law,Sharow View,Allhallowgate,,,Ripon,Yorkshire,HG4 1LE,England,http://www.riponmuseums.co.uk/html/workhouse.html,Charity & Trusts,Museum,Independent
Overbecks Museum,Sharpitor,,,,Salcombe,Devon,TQ8 8LW,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
"National Trust, The Vyne",Sherborne St John,,,,Basingstoke,Hampshire,RG24 9HL,England,http://www.nationaltrust.org.uk/main/w-thevyne,Charity & Trusts,Museum,Independent
North Norfolk Railway Museum,Sheringham Station,Station Approach,,,Sheringham,Norfolk,NR26 8RA,England,http://www.nnrailway.co.uk,Private Organisation,Museum,Independent
AJEX Jewish Military Museum,Shield House,"Harmony Way, off Victoria Road",Hendon,Barnet,London,,NW4 2BZ,England,www.ajex.org.uk,Charity & Trusts,Museum,Independent
"National Trust, Beningbrough Hall",Shipton by Beningbrough,,,,York,Yorkshire,YO30 1DD,England,http://www.nationaltrust.org.uk/main/w-beningbroughhallandgardens,Charity & Trusts,Museum,Independent
